Provinsi,Tahun,IPM
ACEH,2010,67.09
ACEH,2011,67.45
ACEH,2012,67.81
ACEH,2013,68.3
ACEH,2014,68.81
ACEH,2015,69.45
ACEH,2016,70.0
ACEH,2017,70.6
ACEH,2018,71.19
ACEH,2019,71.9
ACEH,2020,71.99
ACEH,2021,72.18
BALI,2010,70.1
BALI,2011,70.87
BALI,2012,71.62
BALI,2013,72.09
BALI,2014,72.48
BALI,2015,73.27
BALI,2016,73.65
BALI,2017,74.3
BALI,2018,74.77
BALI,2019,75.38
BALI,2020,75.5
BALI,2021,75.69
BANTEN,2010,67.54
BANTEN,2011,68.22
BANTEN,2012,68.92
BANTEN,2013,69.47
BANTEN,2014,69.89
BANTEN,2015,70.27
BANTEN,2016,70.96
BANTEN,2017,71.42
BANTEN,2018,71.95
BANTEN,2019,72.44
BANTEN,2020,72.45
BANTEN,2021,72.72
BENGKULU,2010,65.35
BENGKULU,2011,65.96
BENGKULU,2012,66.61
BENGKULU,2013,67.5
BENGKULU,2014,68.06
BENGKULU,2015,68.59
BENGKULU,2016,69.33
BENGKULU,2017,69.95
BENGKULU,2018,70.64
BENGKULU,2019,71.21
BENGKULU,2020,71.4
BENGKULU,2021,71.64
DI YOGYAKARTA,2010,75.37
DI YOGYAKARTA,2011,75.93
DI YOGYAKARTA,2012,76.15
DI YOGYAKARTA,2013,76.44
DI YOGYAKARTA,2014,76.81
DI YOGYAKARTA,2015,77.59
DI YOGYAKARTA,2016,78.38
DI YOGYAKARTA,2017,78.89
DI YOGYAKARTA,2018,79.53
DI YOGYAKARTA,2019,79.99
DI YOGYAKARTA,2020,79.97
DI YOGYAKARTA,2021,80.22
DKI JAKARTA,2010,76.31
DKI JAKARTA,2011,76.98
DKI JAKARTA,2012,77.53
DKI JAKARTA,2013,78.08
DKI JAKARTA,2014,78.39
DKI JAKARTA,2015,78.99
DKI JAKARTA,2016,79.6
DKI JAKARTA,2017,80.06
DKI JAKARTA,2018,80.47
DKI JAKARTA,2019,80.76
DKI JAKARTA,2020,80.77
DKI JAKARTA,2021,81.11
GORONTALO,2010,62.65
GORONTALO,2011,63.48
GORONTALO,2012,64.16
GORONTALO,2013,64.7
GORONTALO,2014,65.17
GORONTALO,2015,65.86
GORONTALO,2016,66.29
GORONTALO,2017,67.01
GORONTALO,2018,67.71
GORONTALO,2019,68.49
GORONTALO,2020,68.68
GORONTALO,2021,69.0
JAMBI,2010,65.39
JAMBI,2011,66.14
JAMBI,2012,66.94
JAMBI,2013,67.76
JAMBI,2014,68.24
JAMBI,2015,68.89
JAMBI,2016,69.62
JAMBI,2017,69.99
JAMBI,2018,70.65
JAMBI,2019,71.26
JAMBI,2020,71.29
JAMBI,2021,71.63
JAWA BARAT,2010,66.15
JAWA BARAT,2011,66.67
JAWA BARAT,2012,67.32
JAWA BARAT,2013,68.25
JAWA BARAT,2014,68.8
JAWA BARAT,2015,69.5
JAWA BARAT,2016,70.05
JAWA BARAT,2017,70.69
JAWA BARAT,2018,71.3
JAWA BARAT,2019,72.03
JAWA BARAT,2020,72.09
JAWA BARAT,2021,72.45
JAWA TENGAH,2010,66.08
JAWA TENGAH,2011,66.64
JAWA TENGAH,2012,67.21
JAWA TENGAH,2013,68.02
JAWA TENGAH,2014,68.78
JAWA TENGAH,2015,69.49
JAWA TENGAH,2016,69.98
JAWA TENGAH,2017,70.52
JAWA TENGAH,2018,71.12
JAWA TENGAH,2019,71.73
JAWA TENGAH,2020,71.87
JAWA TENGAH,2021,72.16
JAWA TIMUR,2010,65.36
JAWA TIMUR,2011,66.06
JAWA TIMUR,2012,66.74
JAWA TIMUR,2013,67.55
JAWA TIMUR,2014,68.14
JAWA TIMUR,2015,68.95
JAWA TIMUR,2016,69.74
JAWA TIMUR,2017,70.27
JAWA TIMUR,2018,70.77
JAWA TIMUR,2019,71.5
JAWA TIMUR,2020,71.71
JAWA TIMUR,2021,72.14
KALIMANTAN BARAT,2010,61.97
KALIMANTAN BARAT,2011,62.35
KALIMANTAN BARAT,2012,63.41
KALIMANTAN BARAT,2013,64.3
KALIMANTAN BARAT,2014,64.89
KALIMANTAN BARAT,2015,65.59
KALIMANTAN BARAT,2016,65.88
KALIMANTAN BARAT,2017,66.26
KALIMANTAN BARAT,2018,66.98
KALIMANTAN BARAT,2019,67.65
KALIMANTAN BARAT,2020,67.66
KALIMANTAN BARAT,2021,67.9
KALIMANTAN SELATAN,2010,65.2
KALIMANTAN SELATAN,2011,65.89
KALIMANTAN SELATAN,2012,66.68
KALIMANTAN SELATAN,2013,67.17
KALIMANTAN SELATAN,2014,67.63
KALIMANTAN SELATAN,2015,68.38
KALIMANTAN SELATAN,2016,69.05
KALIMANTAN SELATAN,2017,69.65
KALIMANTAN SELATAN,2018,70.17
KALIMANTAN SELATAN,2019,70.72
KALIMANTAN SELATAN,2020,70.91
KALIMANTAN SELATAN,2021,71.28
KALIMANTAN TENGAH,2010,65.96
KALIMANTAN TENGAH,2011,66.38
KALIMANTAN TENGAH,2012,66.66
KALIMANTAN TENGAH,2013,67.41
KALIMANTAN TENGAH,2014,67.77
KALIMANTAN TENGAH,2015,68.53
KALIMANTAN TENGAH,2016,69.13
KALIMANTAN TENGAH,2017,69.79
KALIMANTAN TENGAH,2018,70.42
KALIMANTAN TENGAH,2019,70.91
KALIMANTAN TENGAH,2020,71.05
KALIMANTAN TENGAH,2021,71.25
KALIMANTAN TIMUR,2010,71.31
KALIMANTAN TIMUR,2011,72.02
KALIMANTAN TIMUR,2012,72.62
KALIMANTAN TIMUR,2013,73.21
KALIMANTAN TIMUR,2014,73.82
KALIMANTAN TIMUR,2015,74.17
KALIMANTAN TIMUR,2016,74.59
KALIMANTAN TIMUR,2017,75.12
KALIMANTAN TIMUR,2018,75.83
KALIMANTAN TIMUR,2019,76.61
KALIMANTAN TIMUR,2020,76.24
KALIMANTAN TIMUR,2021,76.88
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,67.99
KALIMANTAN UTARA,2014,68.64
KALIMANTAN UTARA,2015,68.76
KALIMANTAN UTARA,2016,69.2
KALIMANTAN UTARA,2017,69.84
KALIMANTAN UTARA,2018,70.56
KALIMANTAN UTARA,2019,71.15
KALIMANTAN UTARA,2020,70.63
KALIMANTAN UTARA,2021,71.19
KEP. BANGKA BELITUNG,2010,66.02
KEP. BANGKA BELITUNG,2011,66.59
KEP. BANGKA BELITUNG,2012,67.21
KEP. BANGKA BELITUNG,2013,67.92
KEP. BANGKA BELITUNG,2014,68.27
KEP. BANGKA BELITUNG,2015,69.05
KEP. BANGKA BELITUNG,2016,69.55
KEP. BANGKA BELITUNG,2017,69.99
KEP. BANGKA BELITUNG,2018,70.67
KEP. BANGKA BELITUNG,2019,71.3
KEP. BANGKA BELITUNG,2020,71.47
